船舶呼號,英文名稱,中文名稱,IMO號,MMSI號,船東,船籍港,船種,船舶國籍,危險品,航線,出發港,目的港,實際進港日,實際進港時間,實際出港日,實際出港時間
BLEZ,ASIA CEMENT NO.6,亞泥6號,9112832,416252000,裕民航運股份有限公司,基隆港,水泥專用船,中華民國,無危險品,,拿篤,高雄港,20220302,1129,20220303,0547
D7AH,LOI HOPE,希望,9478080,441943000,IMT INCORPORATION,濟州,油化船,韓國,易燃液體,,蔚山,曼谷,20220310,1714,20220311,1052
BIIG,DING HENG 5,鼎衡5,9509841,413255730,"WANJIANG FINANCIAL LEASING CO., LTD",上海,油化船,中國大陸,易燃液體,兩岸直航航線,江蘇鎮江,麥寮港,20220316,1811,20220317,2037
D7TX,YN GWANGYANG,光陽輪,9841093,441025000,"YENTEC CO., LTD.",Sinhang/Pohang,油化船,韓國,雜項危險物質,,昂山,蔚山,20220324,1200,20220326,0216
3EBI,PATAGONIAN MYSTIC,伯塔,9303417,371118000,NEW SEAGULL SHIPPING S.A.,巴拿馬城,化學液體船,巴拿馬,易燃液體,,美國其他港口,水島,20220308,1939,20220309,1831
3ESZ7,RABIGH SUN,羅比輪,9392365,,RED SEA MARINE S.A.,巴拿馬城,化學液體船,巴拿馬,雜項危險物質,兩岸直航航線,Rabigh,Rabigh,20220312,1316,20220313,2315
D5RU8,SOUTHERN MERMAID,南魚,9724166,356078000,SANSHO LINE S.A.,蒙羅維亞,油化船,賴比瑞亞,無危險品,兩岸直航航線,新居濱港,,20220305,2231,20220306,1712
VRNB9,WEALTHY BAY,威爾士,9197040,477117500,HONG KONG NORTH WIND INTERNATIONAL SHIPPING COMPANY LIMITED,香港,油化船,香港,無危險品,,高雄港,坎德拉,20220314,1946,20220315,1238
V7GX7,NAVIG8 AMMOLITE,娜薇斑彩,9727534,538005781,SEA 15 LEASING CO. LTD.,馬朱羅,油化船,馬紹爾群島,易燃液體,兩岸直航航線,麥寮港,福建廈門,20220322,2031,20220323,1310
9V6402,MARITIME AMITY,海上和平,9848340,563119300,AMITY SHIPPING PTE.LTD.,新加坡,油化船,新加坡,無危險品,兩岸直航航線,馬來西亞其他港口,,20220325,0936,20220326,1302
